Index;Country or area;Country code;Capital City;Note;Capital Type;City code;Latitude;Longitude;Population
167;Peru;604;Lima;59;Capital;22078;-12,0432;-77,0282;  10 391
168;Philippines;608;Manila;60;Capital;22109;14,6042;120,9822;  13 482
169;Poland;616;Warszawa (Warsaw);;Capital;22161;52,2298;21,0118;  1 768
170;Portugal;620;Lisboa (Lisbon);61;Capital;22167;38,7169;-9,1399;  2 927
171;Puerto Rico;630;San Juan;62;Capital;22177;18,4663;-66,1057;  2 454
172;Qatar;634;Ad-Dawhah (Doha);63;Capital;22179;25,2747;51,5245;   633
173;Republic of Korea;410;Seoul;64;Capital;21758;37,5683;126,9778;  9 963
174;Republic of Moldova;498;Chişinău;;Capital;21885;47,0056;28,8575;   510
175;Réunion;638;Saint-Denis;;Capital;22180;-20,8823;55,4504;   147
176;Romania;642;Bucuresti (Bucharest);;Capital;22191;44,4328;26,1043;  1 821
177;Russian Federation;643;Moskva (Moscow);;Capital;22299;55,7550;37,6218;  12 410
178;Rwanda;646;Kigali;;Capital;22404;-1,9474;30,0579;  1 058
179;Saint Helena;654;Jamestown;;Capital;22405;-15,9387;-5,7168;   1
180;Saint Kitts and Nevis;659;Basseterre;;Capital;22406;17,2948;-62,7261;   14
181;Saint Lucia;662;Castries;;Capital;22408;14,0060;-60,9910;   22
182;Saint Pierre and Miquelon;666;Saint-Pierre;;Capital;22409;46,7738;-56,1815;   6
183;Saint Vincent and the Grenadines;670;Kingstown;;Capital;22410;13,1587;-61,2248;   27
184;Samoa;882;Apia;;Capital;23236;-13,8333;-171,7667;   36
185;San Marino;674;San Marino;;Capital;22411;43,9333;12,4500;   4
186;Sao Tome and Principe;678;São Tomé;;Capital;22412;0,3365;6,7273;   80
187;Saudi Arabia;682;Ar-Riyadh (Riyadh);;Capital;22432;24,6905;46,7096;  6 907
188;Senegal;686;Dakar;65;Capital;22439;14,6937;-17,4441;  2 978
189;Serbia;688;Beograd (Belgrade);66;Capital;23241;44,8176;20,4633;  1 389
190;Seychelles;690;Victoria;;Capital;22444;-4,6167;55,4500;   28
191;Sierra Leone;694;Freetown;;Capital;22445;8,4840;-13,2299;  1 136
192;Singapore;702;Singapore;;Capital;22447;1,2897;103,8501;  5 792
193;Sint Maarten (Dutch part);534;Philipsburg;67;Capital;206154;18,0260;-63,0458;   41
194;Slovakia;703;Bratislava;;Capital;22448;48,1482;17,1067;   430
195;Slovenia;705;Ljubljana;;Capital;22474;46,0511;14,5051;   286
196;Solomon Islands;90;Honiara;;Capital;20311;-9,4333;159,9500;   82
197;Somalia;706;Muqdisho (Mogadishu);68;Capital;22477;2,0416;45,3435;  2 082
198;South Africa;710;Bloemfontein;;Judiciary Capital;22479;-29,1211;26,2140;   546
199;South Africa;710;Cape Town;;Legislative Capital;22481;-33,9258;18,4232;  4 430
200;South Africa;710;Pretoria;;Administrative Capital;22501;-25,7449;28,1878;  2 378
201;South Sudan;728;Juba;;Capital;22577;4,8517;31,5825;   369
202;Spain;724;Madrid;;Capital;22549;40,4165;-3,7026;  6 497
203;Sri Lanka;144;Colombo;69;Capital;20414;6,9319;79,8478;   600
204;Sri Lanka;144;Sri Jayewardenepura Kotte;;Legislative Capital;20418;6,9028;79,9083;   103
205;State of Palestine;275;Al-Quds[East Jerusalem];70;Capital;23562;31,7834;35,2339;   275
206;Sudan;729;Al-Khartum (Khartoum);;Capital;22579;15,5518;32,5324;  5 534
207;Suriname;740;Paramaribo;71;Capital;22587;5,8664;-55,1668;   239
208;Swaziland;748;Mbabane;72;Capital;22588;-26,3167;31,1333;   68
209;Sweden;752;Stockholm;73;Capital;22597;59,3326;18,0649;  1 583
210;Switzerland;756;Bern;;Capital;22601;46,9481;7,4474;   422
211;Syrian Arab Republic;760;Dimashq (Damascus);74;Capital;22610;33,5086;36,3084;  2 320
212;Tajikistan;762;Dushanbe;;Capital;22615;38,5358;68,7791;   873
213;TFYR Macedonia;807;Skopje;;Capital;22802;42,0000;21,4333;   584
214;Thailand;764;Krung Thep (Bangkok);;Capital;22617;13,7220;100,5252;  10 156
215;Timor-Leste;626;Dili;;Capital;22172;-8,5601;125,5668;   281
216;Togo;768;Lomé;;Capital;22628;6,1375;1,2123;  1 746
217;Tokelau;772;Tokelau;75;Others;22629;-9,3800;-171,2500;
218;Tonga;776;Nuku'alofa;;Capital;22630;-21,1394;-175,2032;   23
219;Trinidad and Tobago;780;Port of Spain;76;Capital;22631;10,6662;-61,5166;   544
220;Tunisia;788;Tunis;77;Capital;22646;36,8190;10,1658;  2 291
221;Turkey;792;Ankara;78;Capital;22656;39,9199;32,8543;  4 919
222;Turkmenistan;795;Ashgabat;;Capital;22739;37,9500;58,3833;   810
223;Turks and Caicos Islands;796;Cockburn Town;79;Capital;22742;21,4612;-71,1419;   5
224;Tuvalu;798;Funafuti;;Capital;22743;-8,5189;179,1991;   7
225;Uganda;800;Kampala;80;Capital;22744;0,3163;32,5822;  2 986
226;Ukraine;804;Kyiv (Kiev);;Capital;22765;50,4454;30,5186;  2 957
227;United Arab Emirates;784;Abu Zaby (Abu Dhabi);;Capital;22632;24,4648;54,3618;  1 420
228;United Kingdom;826;London;81;Capital;22860;51,5085;-0,1257;  9 046
229;United Republic of Tanzania;834;Dodoma;;Capital;22895;-6,1722;35,7395;   262
230;United States of America;840;Washington, D.C.;;Capital;23174;38,8951;-77,0364;  5 207
231;United States Virgin Islands;850;Charlotte Amalie;;Capital;23190;18,3419;-64,9307;   52
232;Uruguay;858;Montevideo;82;Capital;23193;-34,8335;-56,1674;  1 737
233;Uzbekistan;860;Tashkent;;Capital;23209;41,2647;69,2163;  2 464
234;Vanuatu;548;Port Vila;;Capital;21956;-17,7338;168,3219;   53
235;Venezuela (Bolivarian Republic of);862;Caracas;83;Capital;23217;10,4880;-66,8792;  2 935
236;Viet Nam;704;Hà Noi;84;Capital;22457;21,0245;105,8412;  4 283
237;Wallis and Futuna Islands;876;Matu-Utu;;Capital;23235;-13,2816;-176,1745;   1
238;Western Sahara;732;El Aaiún;;Capital;22571;27,1532;-13,2014;   232
239;Yemen;887;Sana'a';85;Capital;23239;15,3531;44,2078;  2 779
240;Zambia;894;Lusaka;;Capital;23277;-15,4134;28,2771;  2 524
241;Zimbabwe;716;Harare;;Capital;22513;-17,8294;31,0539;  1 515
